STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Year,YearMonth,TextMonth,PRCP,TMAX,TMIN
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/13/1972,1972,5,May,0,98,64
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/14/1972,1972,5,May,0,99,67
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/15/1972,1972,5,May,0,98,61
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/16/1972,1972,5,May,0,92,55
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/17/1972,1972,5,May,0.03,83,53
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/18/1972,1972,5,May,0,77,53
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/19/1972,1972,5,May,0,77,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/20/1972,1972,5,May,0.09,61,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/21/1972,1972,5,May,0.53,59,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/22/1972,1972,5,May,0,69,48
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/23/1972,1972,5,May,0,77,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/24/1972,1972,5,May,0,80,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/25/1972,1972,5,May,0,83,55
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/26/1972,1972,5,May,0,86,55
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/27/1972,1972,5,May,0,89,59
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/28/1972,1972,5,May,0,95,62
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/29/1972,1972,5,May,0,95,62
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/30/1972,1972,5,May,0,97,64
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/31/1972,1972,5,May,0,96,59
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/1/1972,1972,6,June,0,91,56
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/2/1972,1972,6,June,0,95,66
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/3/1972,1972,6,June,0,91,58
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/4/1972,1972,6,June,0,93,61
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/5/1972,1972,6,June,0,99,71
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/6/1972,1972,6,June,0,102,73
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/7/1972,1972,6,June,0,98,69
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/8/1972,1972,6,June,0,92,55
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/9/1972,1972,6,June,0,85,57
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/10/1972,1972,6,June,0.42,71,49
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/11/1972,1972,6,June,0,73,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/12/1972,1972,6,June,0,85,58
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/13/1972,1972,6,June,0,93,66
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/14/1972,1972,6,June,0,97,62
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/15/1972,1972,6,June,0,93,61
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/16/1972,1972,6,June,0,92,61
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/17/1972,1972,6,June,0,92,60
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/18/1972,1972,6,June,0,100,68
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/19/1972,1972,6,June,0,98,62
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/20/1972,1972,6,June,0,93,61
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/21/1972,1972,6,June,0,98,62
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/22/1972,1972,6,June,0,97,60
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/23/1972,1972,6,June,0,81,55
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/24/1972,1972,6,June,0,74,53
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/25/1972,1972,6,June,0,85,59
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/26/1972,1972,6,June,0,90,62
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/27/1972,1972,6,June,0,93,64
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/28/1972,1972,6,June,0,95,62
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/29/1972,1972,6,June,0,100,67
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,6/30/1972,1972,6,June,0,107,73
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,7/1/1972,1972,7,July,0,109,75
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,7/2/1972,1972,7,July,0,105,64
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,7/3/1972,1972,7,July,0,95,61
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,7/4/1972,1972,7,July,0,98,63
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,7/5/1972,1972,7,July,0,98,64
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,7/6/1972,1972,7,July,0,95,59
